ts_code,end_date,name,Acquisition_of_subsidiary_cash_out,Add_depreciation_amortization,Add_finance_cost_expense,Add_impairment_provision,Add_other_operating_adjust,Add_share_based_payment_exp,Bond_redemption_payment,Capital_exp_fixed_asset,Capital_exp_intangible_other_asset,Cash_at_period_begin,Cash_at_period_end,Cash_generated_from_ops,Cash_outflow_for_investment,Cash_paid_for_minority_equity_subsidiary,Change_in_advance_other_payable,Change_in_customer_deposit_ops,Change_in_deferred_income,Change_in_deposit,Change_in_inventory,Change_in_loan_advance,Change_in_notes_receivable,Change_in_prepayment_other_receivable,Change_in_property_under_dev,Change_in_related_payable,Change_in_related_receivable_invest,Change_in_related_receivable_ops,Change_in_restricted_cash,Change_in_trade_payable_accrued,Change_in_trade_receivable,Change_in_trading_investment,Dividend_paid_financing,Dividend_received_investing,Dividend_received_operating,EBITDA_group,FX_effect_on_cash,Government_grant_investing,Income_tax_paid,Interest_paid_financing,Interest_paid_operating,Interest_received_financing,Interest_received_investing,Interest_received_operating,Issue_cost_payment,Less_FX_gain,Less_gain_on_asset_disposal,Less_government_grant,Less_interest_income,Less_investment_income,Less_revaluation_surplus,Less_share_profit_subsidiary,Net_cash_before_financing,Net_cash_from_financing,Net_cash_from_investing,Net_cash_from_operating,Net_change_in_cash,New_borrowings_proceeds,Non_operating_items,Operating_profit_before_wc_movement,Other_items_financing_cf,Other_items_investing_cf,Other_items_operating_cf,Other_items_working_cap_change,Other_period_adjust_items,Proceeds_from_bond_issue,Proceeds_from_disposal_investment,Proceeds_from_new_investment,Proceeds_from_sale_fixed_asset,Proceeds_from_sale_intangible_other,Proceeds_from_sale_subsidiary,Proceeds_from_share_issue,Profit_before_tax_operating,Repayment_finance_lease,Repayment_of_borrowings,Share_repurchase_cash_out
00001.HK,20251231,长和,1394571680.0,34675519020.0,11133992940.0,,6339701180.0,,,16929052460.0,1889536240.0,109563295660.0,129836068560.0,72589081740.0,4328230240.0,-163482820.0,,,,,-618705700.0,,,,,,,,,-2067470580.0,-835478500.0,,12257598620.0,,,,,,5031838620.0,,11045477380.0,,,,,,25290160.0,,,-11112315660.0,,18040916280.0,50471030380.0,-30198257480.0,-6040735360.0,56511765740.0,20272772900.0,32588177600.0,801678201160.0,69227296900.0,406449000.0,2986948540.0,3361784840.0,6883439620.0,,,1171476340.0,,70451160.0,,14271779220.0,117418600.0,24031974540.0,13402881580.0,37406856300.0,
00001.HK,20250630,长和,448679400.0,18113150900.0,5764435950.0,,8373524900.0,,,7039342050.0,792484550.0,110622270850.0,118200575350.0,33667370100.0,134056650.0,203364850.0,,,,,-821666950.0,,,,,,,,,-3144403600.0,964843100.0,,7947644250.0,,,21975259150.0,,,2546164400.0,,5701511400.0,,,,,,-18239000.0,,,-4542422950.0,,8979971650.0,35420138000.0,-27841833500.0,7185254050.0,28234883950.0,7578304500.0,23557492400.0,742980256200.0,33667370100.0,-7295600.0,289088150.0,2815189650.0,5816417100.0,,,857233000.0,,19150950.0,,14434344600.0,51069200.0,5835568050.0,7255474200.0,36036616200.0,
00001.HK,20241231,长和,6097047360.0,37467578400.0,12401527680.0,1721508360.0,-3397640760.0,,3870847200.0,18858804600.0,1838189400.0,117906190920.0,112331430120.0,66811007880.0,283368240.0,,,,,,-1422397440.0,,,,,,,,,-1421471400.0,1044573120.0,,16248297840.0,,,60898242480.0,,,4307938080.0,,12285772680.0,,,,,,306519240.0,,,-10657794360.0,,15427826400.0,31787249040.0,-37362009840.0,-18430048080.0,50217297120.0,-5574760800.0,50987762400.0,774585231960.0,69573385200.0,,1150141680.0,,-963081600.0,,,6887885520.0,,135201840.0,,474132480.0,577848960.0,26456962800.0,13059942120.0,55748534040.0,
00001.HK,20240630,长和,1473065520.0,18094793680.0,6051068400.0,,-1781551360.0,,3815002400.0,8047099560.0,740183480.0,116205155640.0,120107775320.0,29028700080.0,88529960.0,,,,,,-1277752000.0,,,,,,,,,-4149955960.0,1105255480.0,,11742540880.0,,,30787434440.0,,,2075434320.0,,5993569560.0,,,,,,413444040.0,,,-5208664760.0,,7795199880.0,14750734160.0,-10848114480.0,-6208962040.0,20959696200.0,3902619680.0,29516983880.0,60047955240.0,33801103800.0,-19166280.0,319438000.0,,-449951240.0,,,3248228120.0,,104958200.0,,467292160.0,24642360.0,14436772240.0,6726451600.0,18086579560.0,
00001.HK,20231231,长和,792036280.0,36324016260.0,11080351940.0,,-3441823560.0,,,19637787400.0,3290484820.0,125135388700.0,115382649060.0,61125445220.0,133214340.0,-55279420.0,,,,,-910751100.0,,,,,,,,,-3413730740.0,-4551036840.0,,14269340120.0,,,62886230680.0,,,3562350820.0,,10949856260.0,,,,,,1420952960.0,,,-10320033360.0,,14615516160.0,32643856840.0,-42396596480.0,-13969381300.0,46613238140.0,-9752739640.0,53229550360.0,815154858420.0,68343487520.0,,2563696380.0,,1657476380.0,,,4180392860.0,,152244960.0,,2987807340.0,,30097378640.0,13118440720.0,68293645420.0,
00001.HK,20230630,长和,160424520.0,18139956500.0,5243300260.0,,-1901122760.0,,,8985617080.0,1528642840.0,127311608300.0,118695705200.0,26342812560.0,95885920.0,,,,,,-994816420.0,,,,,,,,,-6979388600.0,-777229140.0,,10205396620.0,,,30683494400.0,,,1622684800.0,,5182449580.0,,,,,,1587649560.0,,,-5584432860.0,,7191444000.0,13962465120.0,-22578368220.0,-5575213060.0,19537678180.0,-8615903100.0,35147721560.0,61279400700.0,32779154940.0,-27659400.0,2066157180.0,,2315091780.0,,,82056220.0,,17517620.0,,3029626280.0,,14491681640.0,6914850000.0,40578183760.0,
00001.HK,20221231,长和,3094287280.0,35541426760.0,8085880040.0,10754077530.0,-4394888400.0,,6967506000.0,21335753950.0,1757062090.0,136789114910.0,123347187950.0,61918796590.0,503804280.0,807516080.0,,,,,-1251471270.0,,,,,,,,,-2305529870.0,-440382110.0,,13832285950.0,,,72827409830.0,,,3172895040.0,,8084986770.0,,,,,,24595296180.0,,,-11418670410.0,,17190087880.0,46769830660.0,-60211757620.0,-3891084120.0,50660914780.0,-13441926960.0,35074246550.0,38267686800.0,66009973190.0,,334082980.0,,-93793350.0,,,2226922110.0,,299245450.0,,19939572940.0,75927950.0,46390190910.0,12780013890.0,60798636010.0,175974190.0
00001.HK,20220630,长和,2834954850.0,17679342870.0,3756849670.0,855190000.0,-1942991680.0,,6670482000.0,8561307090.0,660206680.0,130957810270.0,96050664850.0,29255194710.0,334379290.0,,,,,,-1077539400.0,,,,,,,,,-2729766480.0,2629709250.0,,9009426650.0,,,,,,1517107060.0,,3763691190.0,,,,,,6171051040.0,,,-5282508630.0,,9221513770.0,11681040210.0,-46588185630.0,-12293356250.0,23974396460.0,-34907145420.0,27437060770.0,771900480330.0,31455598580.0,,337800050.0,,-1022807240.0,,,150513440.0,,193272940.0,,-584094770.0,72691150.0,21217263900.0,6342944230.0,52072519100.0,2565570.0
00001.HK,20211231,长和,1546081600.0,37001305600.0,8673100800.0,12649907200.0,-3756054400.0,,7652736000.0,22120985600.0,10291131200.0,127505537600.0,125201540800.0,54659012800.0,147168000.0,1598408000.0,,,,,-37609600.0,,,,,,,,,-9390136000.0,-4689753600.0,,13601593600.0,,,70685608000.0,,,3345619200.0,,8647755200.0,,,,,-2873046400.0,21270681600.0,,,-9076995200.0,,9901953600.0,42215958400.0,-44519955200.0,-449680000.0,42665638400.0,-2303996800.0,58007084800.0,18634739200.0,70258820800.0,,853574400.0,,-1482308800.0,,3800204800.0,268990400.0,,358108800.0,,32175012800.0,77672000.0,34913155200.0,14231963200.0,68307209600.0,1013006400.0
00001.HK,20210630,长和,428521200.0,18957278640.0,4478254560.0,12873941760.0,-2516209920.0,,7788268800.0,8822544240.0,6748168800.0,129763708080.0,151545898320.0,30535671840.0,61573920.0,1626716400.0,,,,,84040080.0,,,,,,,,,-2315678640.0,-2095177440.0,,8720198400.0,,,37389514800.0,,,2008641120.0,,4479918720.0,,,,,-2923929120.0,21334531200.0,,,-4360099200.0,,3679457760.0,41421774480.0,-19639584240.0,17374662480.0,24047112000.0,21782190240.0,35958337200.0,807554442000.0,33696743760.0,,303709200.0,,1165744080.0,,1937914320.0,264601440.0,,191378400.0,,32675781600.0,71558880.0,17633439360.0,7780780080.0,31303681680.0,387749280.0
00001.HK,20201231,长和,701086120.0,35061039120.0,9131794000.0,,-2403723840.0,,,22811810560.0,2078850800.0,115411568280.0,131254599640.0,73717564320.0,1479603120.0,621971960.0,,,,,-124562720.0,,,,,,,,,-4319296480.0,82480720.0,,14445908960.0,,,90966976120.0,,,3053469920.0,,9080453960.0,,,,,,23645875800.0,,,-8619235240.0,,-11425263000.0,56143279480.0,-40300248120.0,-5440360960.0,61583640440.0,15843031360.0,37361241240.0,30844422720.0,73283278080.0,,1354198760.0,,4795664720.0,,,625338520.0,,474684960.0,,19176767400.0,,35095546360.0,15157936400.0,47435672040.0,
00001.HK,20200630,长和,691474080.0,18064189440.0,4920701280.0,,-1134492480.0,,,8505039840.0,868681440.0,125257286880.0,128015875680.0,33156045120.0,1458763680.0,169899840.0,,,,,-286820160.0,,,,,,,,,-3332229120.0,1122617760.0,,11470066080.0,,,40609715520.0,,,1957501920.0,,4916134080.0,,,,,,9649580160.0,,,-4572680640.0,,-1607654400.0,16828305120.0,-14069716320.0,-9454104000.0,26282409120.0,2758588800.0,26309812320.0,34033860960.0,34388275680.0,,13701600.0,,1264200960.0,,,258503520.0,,422922720.0,,1374727200.0,,16007122560.0,8704169760.0,20035392960.0,
00001.HK,20191231,长和,819638700.0,34155195620.0,12814132900.0,,-3570579080.0,,,28835158200.0,3675385340.0,124509836880.0,122835624060.0,80364006920.0,64496160.0,-1543428940.0,,,,,-1121516560.0,,,,,,,,,-4308701800.0,-180947560.0,,17497270740.0,,,87656551900.0,,,5216126940.0,,13097199380.0,,,,,,6380640940.0,,,-8148910660.0,,7997523840.0,28531488780.0,-30205701600.0,-33519191820.0,62050680600.0,-1674212820.0,189480760280.0,9274010340.0,85359771980.0,-1791560.0,-1601654640.0,,615400860.0,,,567028740.0,,134367000.0,,775745480.0,,48190276660.0,14304710820.0,189417159900.0,8957800.0
00001.HK,20190630,长和,443348640.0,17042532840.0,6087247200.0,,-760026240.0,,,11028297420.0,1522691460.0,122269221360.0,109620590220.0,32667053760.0,6157620.0,420477480.0,,,,,-466219800.0,,,,,,,,,-8517747780.0,-1718855640.0,,12214079100.0,,,38985651540.0,,,2904637320.0,,6322116420.0,,,,,,311399640.0,,,-4274267940.0,,6557865300.0,12778820820.0,-25427451960.0,-10661479200.0,23440300020.0,-12648631140.0,19094779620.0,34770320820.0,41913160020.0,-1759320.0,209359080.0,,1456716960.0,,,148662540.0,,44862660.0,,1936131660.0,,22138403220.0,7602901380.0,24283014300.0,
