ts_code,end_date,name,Admin_expense,Admin_general_expense,Business_tax_surcharge,Claim_expense,Commission_expense,Commission_income,Cost_of_sales,Depreciation_amortization,Dividend_income,Dividend_paid,Dividend_per_share,EPS_basic,EPS_diluted,FV_change_fin_assets_FVTPL,FX_loss,Fee_commission_expense,Fee_commission_income,Finance_cost,Finance_expense,Finance_income,Gain_on_disposal_assets,Gross_premium_fee_income,Gross_profit,Impairment_provision,Income_tax_expense,Insurance_business_expense,Insurance_business_income,Interest_expense,Interest_income,Investment_expense,Investment_income,Less_change_unearned_premium_reserve,Less_reinsurance_premium,Minority_interest_profit,Net_FX_gain,Net_earned_premium,Net_fee_commission_income,Net_gain_FVTPL_fin_instr,Net_gain_investment_securities,Net_gross_premium_fee_income,Net_interest_income,Net_trading_gain,Operating_expense,Operating_profit,Operating_profit_before_provisions,Operating_revenue,Other_business_income,Other_comprehensive_income,Other_cost,Other_expenses,Other_gains,Other_income,Other_items_PAT,Other_items_PBT,Other_items_before_provisions,Other_items_of_OCI,Other_items_operating_profit,Other_items_operating_revenue,Other_items_opex,Other_items_profit,Other_items_total_op_revenue,Other_items_total_opex,Other_non_operating_items,Other_operating_expense,Other_operating_income,Policy_dividend_expense,Premium_tax,Profit_after_tax,Profit_after_tax_from_continuing_ops,Profit_attributable_to_equity_holders,Profit_attributable_to_perpetual_sec_holders,Profit_attributable_to_preference_shareholders,Profit_before_tax,Profit_from_discontinued_ops,Provision_for_insurance_liability,R&D_expense,Revaluation_surplus,Selling_distribution_expense,Share_of_profit_from_associates,Share_of_profit_from_joint_ventures,Staff_cost,Staff_salary_welfare_cost,Total_OCI_attributable_to_perpetual_sec_holders,Total_OCI_attributable_to_preference_shareholders,Total_comprehensive_income,Total_comprehensive_income_attributable_to_NCI,Total_comprehensive_income_attributable_to_owners,Total_operating_expense,Total_operating_revenue,Turnover
00001.HK,20251231,长和,,,,,,,,34675519020.0,,,,2.79,,,,,,11133992940.0,,,,,141671863440.0,,6536603140.0,,,,,,,,,6800343380.0,,,,,,,,,102613017760.0,17125051200.0,,252934115920.0,,24584745180.0,8649234720.0,51292960580.0,,881542720.0,,,,24584745180.0,,,,,,,-111262252480.0,,,,,17495371400.0,17495371400.0,10695028020.0,,,24031974540.0,,,,,,8038658000.0,10002258280.0,,39459875360.0,,,42080116580.0,9877613920.0,32202502660.0,,,252934115920.0
00001.HK,20250630,长和,,,,,,,,18113150900.0,,,,0.2,,,,,,5764435950.0,,,,,72390591000.0,,3014906700.0,,,,,,,,,3285755850.0,,,,,,,,,48900582900.0,3862108250.0,,126879603500.0,,25354033900.0,5588429600.0,31410293850.0,,808899650.0,,,,25354033900.0,,,,,,,-54489012500.0,,,,,4062737250.0,4062737250.0,776981400.0,,,7077643950.0,,,,,,4309875700.0,4670095950.0,,19813937650.0,,,29416771150.0,6237738000.0,23179033150.0,,,126879603500.0
00001.HK,20241231,长和,,,,,,,,37467578400.0,,,,4.13,,,,,,12401527680.0,,,,,147910812960.0,,4368130680.0,,,,,,,,,6264660600.0,,,,,,,,,98339891760.0,23430664080.0,,260542280040.0,,-18406897080.0,14291575320.0,48982885800.0,,485244960.0,,,,-18406897080.0,,,,,,,-112631467080.0,,,,,22088832120.0,22088832120.0,15824171520.0,,,26456962800.0,,,,,,6392454120.0,9035372280.0,,38514929640.0,,,3681935040.0,3847696200.0,-165761160.0,,,260542280040.0
00001.HK,20240630,长和,,,,,,,,18094793680.0,,,,2.43,,,,,,6051068400.0,,,,,71332330760.0,,2063569480.0,,,,,,,,,3059303360.0,,,,,,,,,46385135640.0,12692640760.0,,124536098680.0,,-8434075880.0,6818632280.0,22224670680.0,,425308880.0,,,,-8434075880.0,,,,,,,-53203767920.0,,,,,12373202760.0,12373202760.0,9313899400.0,,,14436772240.0,,,,,,3566753440.0,4228446440.0,,18745534520.0,,,3939126880.0,1927580160.0,2011546720.0,,,124536098680.0
00001.HK,20231231,长和,,,,,,,,36324016260.0,,,,5.56,,,,,,11080351940.0,,,,,140145110560.0,,2721378660.0,,,,,,,,,6079829980.0,,,,,,,,,95822796580.0,26562214420.0,,249731576500.0,,7931237440.0,13763669360.0,43584650900.0,,1873156740.0,,,,7931237440.0,,,,,,,-109586465940.0,,,,,27375999980.0,27375999980.0,21296170000.0,,,30097378640.0,,,,,,7374818360.0,7240697800.0,,35547385720.0,,,35307237420.0,6774900720.0,28532336700.0,,,249731576500.0
00001.HK,20230630,长和,,,,,,,,18139956500.0,,,,2.7,,,,,,5243300260.0,,,,,69379916980.0,,1267722500.0,,,,,,,,,2890407300.0,,,,,,,,,47132539580.0,12543537900.0,,122970926460.0,,11071135840.0,6458469900.0,22655814540.0,,1887293060.0,,,,11071135840.0,,,,,,,-53591009480.0,,,,,13223959140.0,13223959140.0,10333551840.0,,,14491681640.0,,,,,,3761678400.0,3429765600.0,,17927901100.0,,,24295094980.0,3986641520.0,20308453460.0,,,122970926460.0
00001.HK,20221231,长和,,,,,,,,35541426760.0,,,,8.55,,,,,,8085880040.0,,,,,130637164420.0,,7390915980.0,,,,,,,,,6234131330.0,,,,,,,,,90866997480.0,37285983070.0,,234480695190.0,,-14121705430.0,12976533290.0,49779257290.0,,25172348600.0,,,,-14121705430.0,,,,,,,-103843530770.0,,,,,38999274930.0,38999274930.0,32765143600.0,,,46390190910.0,,,,,,10560237940.0,6629849940.0,,33202845900.0,,,24877569500.0,5157740980.0,19719828520.0,,,234480695190.0
00001.HK,20220630,长和,,,,,,,,17679342870.0,,,,4.26,,,,,,3756849670.0,,,,,62787194610.0,,1886549140.0,,,,,,,,,3006848040.0,,,,,,,,,43503515300.0,15752599800.0,,112336048020.0,,-9731207010.0,6045338110.0,19525698080.0,,6424187280.0,,,,-9731207010.0,,,,,,,-49548853410.0,,,,,19330714760.0,19330714760.0,16323866720.0,,,21217263900.0,,,,,,5799898580.0,3421615190.0,,16253741140.0,,,9599507750.0,2463802390.0,7135705360.0,,,112336048020.0
00001.HK,20211231,长和,,,,,,,,37001305600.0,,,,7.11,,,,,,8673100800.0,,,,,130954992000.0,,1823248000.0,,,,,,,,,5713388800.0,,,,,,,,,85247881600.0,33684302400.0,,229620507200.0,,-3274488000.0,13417633600.0,52128540800.0,,22488088000.0,,,,-3274488000.0,,,,,,,-98665515200.0,,,,,33089907200.0,33089907200.0,27376518400.0,,,34913155200.0,,,,,,4675036800.0,5226916800.0,,30628931200.0,,,29815419200.0,5521252800.0,24294166400.0,,,229620507200.0
00001.HK,20210630,长和,,,,,,,,18957278640.0,,,,3.95,,,,,,4478254560.0,,,,,65283332640.0,,-184721760.0,,,,,,,,,2591097120.0,,,,,,,,,40840150560.0,18432236160.0,,112743511680.0,,7717542000.0,6620028480.0,34510518000.0,,22161618720.0,,,,7717542000.0,,,,,,,-39742637040.0,,,,,17818161120.0,17818161120.0,15227064000.0,,,17633439360.0,,,,,,2038596000.0,1640861760.0,,15544918560.0,,,25535703120.0,3536340000.0,21999363120.0,,,112743511680.0
00001.HK,20201231,长和,,,,,,,,35061039120.0,,,,6.36,,,,,,9131794000.0,,,,,130020755400.0,,3620735280.0,,,,,,,,,6946896560.0,,,,,,,,,80417860360.0,55652603360.0,,224209529440.0,,14575521520.0,13770913680.0,35754550480.0,,26321449360.0,,,,14575521520.0,,,,,,,-94188774040.0,,,,,31474811080.0,31474811080.0,24527914520.0,,,35095546360.0,,,,,,-15594747560.0,4169484560.0,,29874011800.0,,,46050332600.0,8069644320.0,37980688280.0,,,224209529440.0
00001.HK,20200630,长和,,,,,,,,18064189440.0,,,,3.08,,,,,,4920701280.0,,,,,67229184000.0,,757241760.0,,,,,,,,,3375160800.0,,,,,,,,,40069872480.0,22535478240.0,,113861209440.0,,-2889210720.0,6562152960.0,21327910560.0,,10813302720.0,,,,-2889210720.0,,,,,,,,,,,,15249880800.0,,11874720000.0,,,16007122560.0,,,,,,-3086513760.0,1478859360.0,,16114908480.0,,,12360670080.0,2670898560.0,9689771520.0,,,113861209440.0
00001.HK,20191231,长和,,,,,,,,34155195620.0,,,,9.25,,,,,,12814132900.0,,,,,157036504460.0,,5392595600.0,,,,,,,,,7118763660.0,,,,,,,,,94915953020.0,53006885720.0,,267857031380.0,,1633006940.0,15904573900.0,42405329420.0,,6532923540.0,,,,1633006940.0,,,,,,,61004409560.0,,,,,42797681060.0,,35678917400.0,,,48190276660.0,,,,,,1365168720.0,6632355120.0,,34002017240.0,,,44430688000.0,6981709320.0,37448978680.0,,,267857031380.0
